"filename", "language", "PostCSS", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\mathe\Documents\Projeto_Syntax_ Labs\index.html", "HTML", 0, 0, 840, 10, 110, 960
"c:\Users\mathe\Documents\Projeto_Syntax_ Labs\js\script_carrossel.js", "JavaScript", 0, 37, 0, 2, 11, 50
"c:\Users\mathe\Documents\Projeto_Syntax_ Labs\js\script_fundo.js", "JavaScript", 0, 24, 0, 2, 5, 31
"c:\Users\mathe\Documents\Projeto_Syntax_ Labs\js\script_menu.js", "JavaScript", 0, 10, 0, 1, 2, 13
"c:\Users\mathe\Documents\Projeto_Syntax_ Labs\style\root.css", "PostCSS", 13, 0, 0, 3, 2, 18
"c:\Users\mathe\Documents\Projeto_Syntax_ Labs\style\style-about.css", "PostCSS", 351, 0, 0, 1, 51, 403
"c:\Users\mathe\Documents\Projeto_Syntax_ Labs\style\style-budget.css", "PostCSS", 346, 0, 0, 9, 58, 413
"c:\Users\mathe\Documents\Projeto_Syntax_ Labs\style\style-content.css", "PostCSS", 205, 0, 0, 7, 34, 246
"c:\Users\mathe\Documents\Projeto_Syntax_ Labs\style\style-faq.css", "PostCSS", 114, 0, 0, 2, 19, 135
"c:\Users\mathe\Documents\Projeto_Syntax_ Labs\style\style-home.css", "PostCSS", 181, 0, 0, 5, 23, 209
"c:\Users\mathe\Documents\Projeto_Syntax_ Labs\style\style-menu-rod.css", "PostCSS", 290, 0, 0, 10, 48, 348
"c:\Users\mathe\Documents\Projeto_Syntax_ Labs\style\style-process.css", "PostCSS", 107, 0, 0, 1, 16, 124
"c:\Users\mathe\Documents\Projeto_Syntax_ Labs\style\style-solutions.css", "PostCSS", 561, 0, 0, 1, 85, 647
"c:\Users\mathe\Documents\Projeto_Syntax_ Labs\style\style-why_us.css", "PostCSS", 84, 0, 0, 2, 13, 99
"c:\Users\mathe\Documents\Projeto_Syntax_ Labs\style\style.css", "PostCSS", 98, 0, 0, 7, 14, 119
"Total", "-", 2350, 71, 840, 63, 491, 3815
