"filename", "language", "PostCSS", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\mathe\Documents\Projeto_Syntax_ Labs\forms-budget.html", "HTML", 0, 0, 554, 17, 72, 643
"c:\Users\mathe\Documents\Projeto_Syntax_ Labs\index.html", "HTML", 0, 0, 0, 0, 1, 1
"c:\Users\mathe\Documents\Projeto_Syntax_ Labs\js\js_pills_forms_budget.js", "JavaScript", 0, 241, 0, 13, 60, 314
"c:\Users\mathe\Documents\Projeto_Syntax_ Labs\js\script_carrossel.js", "JavaScript", 0, 0, 0, 0, -1, -1
"c:\Users\mathe\Documents\Projeto_Syntax_ Labs\js\script_fundo.js", "JavaScript", 0, 0, 0, 0, -1, -1
"c:\Users\mathe\Documents\Projeto_Syntax_ Labs\style\style-about.css", "PostCSS", 20, 0, 0, 1, 2, 23
"c:\Users\mathe\Documents\Projeto_Syntax_ Labs\style\style-budget.css", "PostCSS", -7, 0, 0, 0, -1, -8
"c:\Users\mathe\Documents\Projeto_Syntax_ Labs\style\style-content.css", "PostCSS", 1, 0, 0, 0, 0, 1
"c:\Users\mathe\Documents\Projeto_Syntax_ Labs\style\style-forms-budgets.css", "PostCSS", 394, 0, 0, 20, 85, 499
"c:\Users\mathe\Documents\Projeto_Syntax_ Labs\style\style-menu-rod.css", "PostCSS", 7, 0, 0, 0, 1, 8
"Total", "-", 415, 241, 554, 51, 218, 1479
